번호,지역,업종,상호,주소,연락처,객실수,기타
20,금촌1동,숙박업,대화모텔,"경기도 파주시 금정22길 28, 대화여관 1,2층 (금촌동)",031-941-2273,11,
21,금촌2동,숙박업,강남여관,경기도 파주시 금촌동 64-0 ,031-941-2258,5,
22,금촌1동,숙박업,백두모텔,"경기도 파주시 금정로 80-12, 성심모텔 (금촌동)",031-941-2457,12,
23,금촌2동,숙박업,천향여관,경기도 파주시 금정22길 16 (금촌동),031-945-6896,10,
24,금촌2동,숙박업,립모텔(Lip모텔),경기도 파주시 금정20길 15-12 (금촌동),031-945-6134,22,
25,금촌2동,숙박업,영신장여관,경기도 파주시 금정22길 23-4 (금촌동),031-941-4551,9,
26,금촌1동,숙박업,호텔얌 파주금촌점,경기도 파주시 금정20길 15-8 (금촌동),031-949-0964,30,
27,금촌2동,숙박업,호텔자자,경기도 파주시 금정22길 26 (금촌동),031-941-1919,26,
28,금촌1동,숙박업,파주 금촌 브라운도트 호텔,경기도 파주시 문화로 82 (금촌동),031-943-3300,39,
29,금촌2동,숙박업,현대여관,경기도 파주시 금정20길 15-7 (금촌동),031-943-1850,13,
30,금촌2동,숙박업,장안여관,경기도 파주시 금정20길 15-5 (금촌동),010-4088-1868,10,
31,금촌2동,숙박업,수모텔,"경기도 파주시 금정14길 15-1 (금촌동,,-37)",031-941-5595,19,
32,금촌2동,숙박업,K.금조 모텔,경기도 파주시 금정16길 13 (금촌동),031-943-0655,20,
33,금촌2동,숙박업,마리호텔,경기도 파주시 중앙로 266 (금촌동),031-945-9111,55,
34,금촌2동,숙박업,테마모텔,경기도 파주시 중앙로 272 (금촌동),031-944-5987,36,
35,금촌3동,숙박업,스테이거기호텔(stay G.G Hotel),경기도 파주시 평화로 454 (맥금동),031-945-8426,29,
36,문산읍,숙박업,오블라디호스텔,"경기도 파주시 문산읍 문현말길 113-2, 외 45필지",031-954-1836,21,
37,문산읍,숙박업,선인장 여관,경기도 파주시 문산읍 문향로56번길 7-2,031-953-9448,7,
38,문산읍,숙박업,명신장여관,경기도 파주시 문산읍 문향로56번길 7-2,031-953-3053,7,
39,문산읍,숙박업,임진장,경기도 파주시 문산읍 문향로 56,031-952-3349,12,
40,문산읍,숙박업,귀빈장여관,"경기도 파주시 문산읍 문향로56번길 9-2, 귀빈장 1,2층 전체",031-952-7291,10,
41,문산읍,숙박업,로얄모텔,경기도 파주시 문산읍 문향로49번길 20,031-953-6667,35,
42,문산읍,숙박업,서부파크장,경기도 파주시 문산읍 문향로56번길 7,031-952-2991,10,
43,문산읍,숙박업,세종장,경기도 파주시 문산읍 문향로70번길 17-1,031-953-9888,12,
44,문산읍,숙박업,성심모텔(문산),경기도 파주시 문산읍 문향로84번길 12,031-953-3135,13,
45,문산읍,숙박업,대림여관,경기도 파주시 문산읍 문산읍이리 17-92 ,031-952-2421,10,
46,문산읍,숙박업,초원여관,경기도 파주시 문산읍 문산읍이리 17-92 ,070-4941-1104,12,
47,문산읍,숙박업,우일여인숙,경기도 파주시 문산읍 문향로56번길 21,031-952-4466,8,
48,문산읍,숙박업,정든장,경기도 파주시 문산읍 독산로 22,031-952-2136,9,
49,문산읍,숙박업,태평여관,경기도 파주시 문산읍 문산읍으로 41-15,031-952-3345,15,
50,문산읍,숙박업,모텔청화,경기도 파주시 문산읍 문향로 69-15,031-952-2626,10,
51,문산읍,숙박업,오슬로 모텔,"경기도 파주시 문산읍 문향로 73-16 (,-30 2층,3층)",070-8146-2910,12,
52,문산읍,숙박업,다솜스테이,경기도 파주시 문산읍 문향로56번길 19,031-952-3257,12,
53,문산읍,숙박업,여주장,경기도 파주시 문산읍 문향로 64-1,031-952-2191,9,
54,문산읍,숙박업,세일여관,경기도 파주시 문산읍 독서울4길 60-25,031-976-9402,14,
55,문산읍,숙박업,아담장,경기도 파주시 문산읍 봉미로6번길 4 (3층),031-952-3210,15,
56,문산읍,숙박업,문산모텔,경기도 파주시 문산읍 문향로85번길 6,031-952-0249,9,
57,문산읍,숙박업,M 모텔,경기도 파주시 문산읍 문향로 87-1,031-953-3263,18,
58,문산읍,숙박업,휴모텔,경기도 파주시 문산읍 문향로 95,031-952-1510,8,
59,문산읍,숙박업,통일여인숙,경기도 파주시 문산읍 통일로2018번길 19,031-952-3451,10,
60,법원읍,숙박업,까사구스토,경기도 파주시 법원읍 칡울길 25-9,010-8707-4766,3,
61,법원읍,숙박업,서원파크장,경기도 파주시 법원읍 사임당로843번길 19-3,031-959-1926,20,
62,법원읍,숙박업,귀빈장모텔,경기도 파주시 법원읍 사임당로843번길 17-2,031-958-3194,19,
63,법원읍,숙박업,안드레 박 모텔(Andre Park Motel),경기도 파주시 법원읍 사임당로 839-1 (외3필지),031-958-8254,19,
64,법원읍,숙박업,블루장모텔,경기도 파주시 법원읍 사임당로843번길 16,031-958-0243,16,
65,법원읍,숙박업,정든장,경기도 파주시 법원읍 술이홀로879번길 8,010-2255-1212,11,
66,법원읍,숙박업,초호쉼터,"경기도 파주시 법원읍 초리골길 280, 2~5동",010-9585-0029,4,
67,법원읍,숙박업,하늘그린,"경기도 파주시 법원읍 초리골길 284-36, 펜션 1,2,3동",010-7446-8515,6,
68,교하동,숙박업,유로호텔,"경기도 파주시 지목로 19 (신촌동,,12)",031-942-0315,58,
69,교하동,숙박업,반디호텔,경기도 파주시 지목로 57 (신촌동),031-943-6630,35,
70,금촌1동,숙박업,에쿠스,경기도 파주시 중앙로 283 (아동동),031-945-3462,30,
71,금촌3동,숙박업,아늑 호텔 파주점,경기도 파주시 금정14길 41-13 (아동동),031-943-0561,26,
72,금촌1동,숙박업,호텔구구,"경기도 파주시 금정14길 41-9, 1~6층 (아동동)",031-937-8228,25,
73,운정3동,숙박업,케이힐스레지던스,"경기도 파주시 심학산로 628, 케이힐스 7층~11층 일부, 12층, 13~15층 일부, 16층, 17~21층 일부 (야당동)",010-3372-7269,54,
74,운정3동,숙박업,이든프롭스 야당점,"경기도 파주시 심학산로 628, 케이힐스 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19층 일부 (야당동)",02-1533-3228,33,
75,운정3동,숙박업,힐스더테라스,"경기도 파주시 심학산로 628, 케이힐스 7층~21층(각층의 일부호) (야당동)",031-944-1417,140,
76,운정3동,숙박업,파크뷰테라스,"경기도 파주시 소리천로 39, 1층 일부, 7층~19층 (야당동)",031-947-7177,416,
77,운정3동,숙박업,호텔시에나,경기도 파주시 소리천로 31 (야당동),031-943-7260,100,
78,운정3동,숙박업,유한회사 초이이앤씨 야놀다가자,"경기도 파주시 소리천로 25, 유은타워7차 414호 (야당동)",031-944-8290,39,
79,월롱면,숙박업,필립스(백합),경기도 파주시 월롱면 통일로600번길 21,031-945-2272,36,
80,월롱면,숙박업,필립스(장미),경기도 파주시 월롱면 통일로600번길 21 ((장미)),031-945-2272,35,
81,월롱면,숙박업,그린하이츠,경기도 파주시 월롱면 한태말길 4,031-944-4868,24,
82,월롱면,숙박업,선호장,경기도 파주시 월롱면 휴암로 12,031-945-2335,11,
83,적성면,숙박업,승원장,경기도 파주시 적성면 칠중5길 8,031-959-4347,11,
84,적성면,숙박업,모텔25시,경기도 파주시 적성면 청송로 1040,031-958-7029,15,
85,적성면,숙박업,현대여관,경기도 파주시 적성면 솥뒤로 11-1,031-959-4437,3,
86,적성면,숙박업,대성장,경기도 파주시 적성면 솥뒤로 3,010-3137-212,7,
87,적성면,숙박업,한일여관,경기도 파주시 적성면 마지리 62-0 ,031-959-957,9,
88,적성면,숙박업,송미장,경기도 파주시 적성면 솥뒤로 16-19,031-958-1116,10,
89,적성면,숙박업,계림모텔,경기도 파주시 적성면 청송로 1027-16,031-959-4006,7,
90,적성면,숙박업,감악여관,"경기도 파주시 적성면 칠중2길 7, 3,4층",031-959-4071,17,
91,적성면,숙박업,서울장여관,경기도 파주시 적성면 청송로 1027-28,031-959-3488,10,
92,조리읍,숙박업,샤롯데,경기도 파주시 조리읍 통일로 488,031-944-0203,19,
93,조리읍,숙박업,S모텔,경기도 파주시 조리읍 통일로 310,031-945-1464,37,
94,조리읍,숙박업,지중해모텔,경기도 파주시 조리읍 통일로 132,031-945-5062,29,
95,조리읍,숙박업,경기장여관,경기도 파주시 조리읍 봉천로 37-7,031-945-0553,8,
96,조리읍,숙박업,에이스,경기도 파주시 조리읍 통일로 170,031-943-1400,30,
97,조리읍,숙박업,폭스모텔,"경기도 파주시 조리읍 등원로 273 (,6)",031-947-4083,30,
98,탄현면,숙박업,호텔C.C,경기도 파주시 탄현면 엘씨디로241번길 39-45,031-948-7878,40,
99,탄현면,숙박업,시크릿 가든,"경기도 파주시 탄현면 엘씨디로241번길 50-3, 1,2,3층",031-945-5885,29,
100,탄현면,숙박업,(주)코아반도체 파주메이트,경기도 파주시 탄현면 엘씨디로241번길 39-35,031-945-1029,47,
101,탄현면,숙박업,화수목호텔,"경기도 파주시 탄현면 엘씨디로241번길 39-46 (39-38,39-42)",031-948-9195,53,
102,탄현면,숙박업,파주풀빌라워라벨호스텔,경기도 파주시 탄현면 엘지로 709,010-7907-5516,11,
103,탄현면,숙박업,해비치 힐,경기도 파주시 탄현면 방촌로955번길 270-36,010-2754-2292,3,
104,탄현면,숙박업,에스파시오 칸타빌레,"경기도 파주시 탄현면 방촌로955번길 270-38, 1층",010-6330-8861,2,
105,탄현면,숙박업,브릴란테,"경기도 파주시 탄현면 방촌로955번길 270-30, 1층",010-2021-4015,2,
106,탄현면,숙박업,에스파시오,경기도 파주시 탄현면 방촌로955번길 270-2,010-3339-8350,4,
107,탄현면,숙박업,락모텔,경기도 파주시 탄현면 새오리로161번길 53-48,031-942-1000,19,
108,탄현면,숙박업,벨리타,"경기도 파주시 탄현면 새오리로161번길 53-28 (,124-53)",031-942-5858,18,
109,탄현면,숙박업,굿타임,"경기도 파주시 탄현면 새오리로161번길 53-34, ,53-32",031-942-5858,19,
110,탄현면,숙박업,유앤아이,"경기도 파주시 탄현면 새오리로161번길 13-21, 13-23",031-957-8919,30,
111,탄현면,숙박업,호텔 더 헤이리,경기도 파주시 탄현면 새오리로161번길 53-37,031-945-0000,17,
112,탄현면,숙박업,Q HOTEL,경기도 파주시 탄현면 샘철길 22 (204-19),031-944-5353,42,
113,탄현면,숙박업,자유로,경기도 파주시 탄현면 샘철길 16,031-945-9988,30,
114,탄현면,숙박업,TRAMONTO,"경기도 파주시 탄현면 새오리로 20, 5,6동",010-6305-3830,6,
115,탄현면,숙박업,웨스트힐관광호텔,경기도 파주시 탄현면 요풍길 68-16,031-945-0053,39,
116,탄현면,숙박업,펜션숲속의궁전1,경기도 파주시 탄현면 필승로 487-26,031-947-5800,11,
117,탄현면,숙박업,무인텔숲속의궁전2,경기도 파주시 탄현면 필승로 487-24,031-947-5800,11,
118,탄현면,숙박업,무인텔숲속의궁전3,경기도 파주시 탄현면 필승로 487-22,031-947-5800,12,
119,탄현면,숙박업,데데아호텔,"경기도 파주시 탄현면 필승로 487-43, 1,2,3층",031-957-7600,10,
120,탄현면,숙박업,니벨롱겐의 반지 무인텔,경기도 파주시 탄현면 필승로 487-31,031-945-3277,15,
121,탄현면,숙박업,니벨롱겐의 반지 무인텔,경기도 파주시 탄현면 성동리 266-7 ,031-945-3276,10,
122,탄현면,숙박업,시노안,경기도 파주시 탄현면 필승로 487-15 (1~3층),031-945-7959,18,
123,탄현면,숙박업,하이무인텔,경기도 파주시 탄현면 필승로 487-19,031-947-2877,18,
124,탄현면,숙박업,헤이리풀빌라워라밸호스텔,"경기도 파주시 탄현면 샘철길 38-12, A, B동",010-6360-5516,9,
125,탄현면,숙박업,호텔소풍,경기도 파주시 탄현면 요풍길 119-1,031-944-7942,32,
126,탄현면,숙박업,마루,경기도 파주시 탄현면 필승로 448,031-945-1155,28,
127,탄현면,숙박업,이브텔,"경기도 파주시 탄현면 필승로 446, B동",031-944-0335,28,
128,탄현면,숙박업,다온호텔,경기도 파주시 탄현면 성동로 7-25,031-949-4226,35,
129,탄현면,숙박업,신데렐라,경기도 파주시 탄현면 필승로 442,031-948-9125,28,
130,탄현면,숙박업,로데오모텔,경기도 파주시 탄현면 성동로 7-13,031-949-5667,24,
131,탄현면,숙박업,샤이나(SHAINA),경기도 파주시 탄현면 필승로 442,031-949-6830,25,
132,탄현면,숙박업,에로스,경기도 파주시 탄현면 성동로 7-17 (나동),031-949-3236,24,
133,탄현면,숙박업,호텔 럭스,경기도 파주시 탄현면 성동로 5 ((1-7층)),031-949-6611,46,
134,탄현면,숙박업,리오텔,"경기도 파주시 탄현면 성동로 1, 가동",031-945-7258,27,
135,탄현면,숙박업,듀오텔,"경기도 파주시 탄현면 성동로 1, 나동",031-945-3086,27,
136,탄현면,숙박업,피카소,"경기도 파주시 탄현면 성동로 34, 1동",031-947-5512,42,
137,탄현면,숙박업,브라운도트호텔 파주헤이리점,"경기도 파주시 탄현면 성동로 34, 2동",031-944-9010,42,
138,탄현면,숙박업,노스탈자,"경기도 파주시 탄현면 성동로 34, 3동",031-949-9524,44,
139,탄현면,숙박업,아이엠티(I.M.T)호텔,"경기도 파주시 탄현면 성동로 34, 4동",031-949-3952,36,
140,탄현면,숙박업,호텔미즈,경기도 파주시 탄현면 성동로 20-37,031-946-9999,47,
141,탄현면,숙박업,힐즈호텔,경기도 파주시 탄현면 성동로 20-41,031-945-9800,42,
142,탄현면,숙박업,호텔위즈,경기도 파주시 탄현면 성동로 20-45,031-949-9046,57,
143,탄현면,숙박업,호텔W2(더블유투),경기도 파주시 탄현면 성동로 36-26,031-944-1553,42,
144,탄현면,숙박업,골든힐,경기도 파주시 탄현면 성동로 36-30,031-942-0222,80,
145,탄현면,숙박업,호텔 더블유 원,경기도 파주시 탄현면 성동로 36-34,031-947-4662,42,
146,파주읍,숙박업,나우호텔,경기도 파주시 파주읍 술이홀로 476,031-954-6969,33,
147,파주읍,숙박업,모텔휴,"경기도 파주시 파주읍 술이홀로 474, 모텔휴 2,3층",031-953-2998,27,
148,파주읍,숙박업,자바모텔,경기도 파주시 파주읍 연풍5길 12-13,031-954-1760,24,
149,파주읍,숙박업,연풍장,경기도 파주시 파주읍 술이홀로 432-2,031-952-4636,19,
150,파평면,숙박업,임진강여관,경기도 파주시 파평면 청송로 438,031-958-5322,13,
151,파평면,숙박업,유림여관,경기도 파주시 파평면 청송로596번길 7-7,010-9182-3729,10,
152,파평면,숙박업,윈모텔,경기도 파주시 파평면 청송로 618,031-959-6110,21,
153,파평면,숙박업,포시즌,경기도 파주시 파평면 화석정로126번길 144-20,031-954-0021,30,
154,파평면,숙박업,아비숑,경기도 파주시 파평면 화석정로126번길 122-35,031-953-7370,30,
155,파평면,숙박업,필 모텔,경기도 파주시 파평면 화석정로 123,031-953-5793,20,
156,파평면,숙박업,대성여인숙,경기도 파주시 파평면 장마루3길 94-2,031-959-1018,6,
157,탄현면,관광숙박업,호텔CC,경기도 파주시 탄현면 엘씨디로241번길 39-45,031-948-7878,40,
158,탄현면,관광숙박업,메이트호텔,경기도 파주시 탄현면 엘씨디로241번길 39-35,031-945-1029,47,
159,운정3동,관광숙박업,호텔시에나,경기도 파주시 소리천로 31 (야당동),031-943-7260,100,
160,탄현면,관광숙박업,골든힐 관광호텔,경기도 파주시 탄현면 성동로 36-30,031-942-0222,80,
161,탄현면,관광숙박업,헤이리풀빌라 워라밸 호스텔,경기도 파주시 탄현면 샘철길 38-12,010-6360-5516,9,
162,문산읍,관광숙박업,오블라디 호스텔,경기도 파주시 문산읍 문현말길 113-2,010-8778-5011,28,
163,금촌1동,관광숙박업,호텔 뷰티플,경기도 파주시 중앙로 94-9 (금릉동),010-9532-0815,30,
164,탄현면,관광숙박업,파주풀빌라 워라벨 호스텔,경기도 파주시 탄현면 엘지로 709,010-7907-5516,11,
165,탄현면,관광숙박업,에스파시오,경기도 파주시 탄현면 방촌로955번길 270-2,010-3339-8350,4,
166,탄현면,관광숙박업,브릴란테,경기도 파주시 탄현면 방촌로955번길 270-30,010-7136-8070,2,
167,탄현면,관광숙박업,에스파시오 칸타빌레,경기도 파주시 탄현면 방촌로955번길 270-38,010-7136-8070,2,
168,탄현면,관광숙박업,해비치 힐,경기도 파주시 탄현면 방촌로955번길 270-36,010-2754-2292,3,
169,탄현면,관광숙박업,TRAMONTO,경기도 파주시 탄현면 새오리로 20,010-5389-3831,6,
170,법원읍,관광숙박업,까사구스토,경기도 파주시 법원읍 칡울길 25-9,010-8707-4766,3,
171,문산읍,농어촌민박,DMZ stay,경기도 파주시 문산읍 사목로 223,010-3670-0670,2,
172,조리읍,농어촌민박,풀꽃향기,경기도 파주시 조리읍 수레길 191-170,010-5025-9038,5,
173,법원읍,농어촌민박,산책북스테이,경기도 파주시 법원읍 자운서원로 396-6,010-3656-7854,1,
174,법원읍,농어촌민박,달빛가득,경기도 파주시 법원읍 만월로 502,010-3389-5261,3,
175,법원읍,농어촌민박,직천펜션2,경기도 파주시 법원읍 만월로 505-16,010-3315-7972,3,
176,법원읍,농어촌민박,직천민박(마린팬션),경기도 파주시 법원읍 만월로 505-18,010-3315-7972,3,
177,법원읍,농어촌민박,숲속 구름 호수,경기도 파주시 법원읍 만월로 505-31,010-2844-5632,2,
178,법원읍,농어촌민박,별 헤는 밤2,경기도 파주시 법원읍 만월로 505-35,010-2521-1147,3,
179,법원읍,농어촌민박,뜰안채,경기도 파주시 법원읍 만월로 516-5,010-9423-5891,5,
180,법원읍,농어촌민박,늘푸른산장,경기도 파주시 법원읍 만월로613번길 199-23,010-7744-6181,7,
181,법원읍,농어촌민박,비학농원,경기도 파주시 법원읍 만월로613번길 234-10,010-9581-1160,3,
182,법원읍,농어촌민박,정인,경기도 파주시 법원읍 보광로 1911-14,010-2658-1069,5,
183,법원읍,농어촌민박,휴스테이,경기도 파주시 법원읍 사임당로770번길 15-18,010-9015-7283,3,
184,법원읍,농어촌민박,하루정원,경기도 파주시 법원읍 자운서원로 264,010-3549-9640,2,
185,법원읍,농어촌민박,정원,경기도 파주시 법원읍 자운서원로 270,010-7210-8853,4,
186,법원읍,농어촌민박,초호쉼터,경기도 파주시 법원읍 초리골길 140,010-3254-0029,5,
187,법원읍,농어촌민박,초리풍경,경기도 파주시 법원읍 초리골길 172-3 ,010-9161-0164,4,
188,법원읍,농어촌민박,j제이펜션,경기도 파주시 법원읍 초리골길 249,010-3835-3837,5,
189,법원읍,농어촌민박,초리꽃팬션,경기도 파주시 법원읍 초리골길 398-12,010-6257-2835,2,
190,법원읍,농어촌민박,숲속의살룻 자연농원,경기도 파주시 법원읍 칡울안길 108,010-5660-6962,2,
191,파주읍,농어촌민박,중휴림 솔궁,경기도 파주시 파주읍 바리골길 198-172,010-2308-2314,3,
192,파주읍,농어촌민박,중휴림 림궁,경기도 파주시 파주읍 바리골길 198-174,010-7907-2314,3,
193,파주읍,농어촌민박,중휴림 휴궁,경기도 파주시 파주읍 바리골길 198-176,010-8227-4319,3,
194,파주읍,농어촌민박,중휴림 중궁,경기도 파주시 파주읍 바리골길 198-178,010-3764-5291,4,
195,파주읍,농어촌민박,오페라,경기도 파주시 파주읍 잠방골길 178-14,010-9174-5790,5,
196,광탄면,농어촌민박,유신,경기도 파주시 광탄면 보광로 774,010-8539-4100,1,
197,광탄면,농어촌민박,웰컴펠릭스,경기도 파주시 광탄면 심궁로 178,010-5762-4218,1,
198,광탄면,농어촌민박,프라이빗 게스트하우스 민낯,경기도 파주시 광탄면 장지산로118번길 95 2층,010-9500-4733,2,
199,탄현면,농어촌민박,헤이리힐스 힐링하우스,경기도 파주시 탄현면 국원말길 42-4,010-9146-6380,1,
200,탄현면,농어촌민박,마리별,경기도 파주시 탄현면 매봉길 125,010-9089-6940,5,
201,탄현면,농어촌민박,CITADEL Ca&Fe,경기도 파주시 탄현면 헤이리로133번길 19-10,010-8517-5477,1,
202,탄현면,농어촌민박,더화이트버치,경기도 파주시 탄현면 새오리로 161번길 13-36,010-5314-2086,3,
203,탄현면,농어촌민박,가을노을B,경기도 파주시 탄현면 새오리로 161번길 74-11,010-4753-2011,2,
204,탄현면,농어촌민박,가을노을C,경기도 파주시 탄현면 새오리로 161번길 74-13,010-9872-6815,2,
205,탄현면,농어촌민박,개성가는길,경기도 파주시 탄현면 새오리로339번길 79-3,010-5338-3492,2,
206,탄현면,농어촌민박,알베로,경기도 파주시 탄현면 새오리로 53,010-3757-3618,5,
207,탄현면,농어촌민박,산토,경기도 파주시 탄현면 새오리로 53-2,010-5062-4084,5,
208,탄현면,농어촌민박,상린재,경기도 파주시 탄현면 새오리로 548-28,010-6662-6688,1,
209,탄현면,농어촌민박,이랑이네,"경기도 파주시 탄현면 새오리로 58, 1동",010-8415-0613,2,
210,탄현면,농어촌민박,태근민박,"경기도 파주시 탄현면 새오리로 58, 2동",010-2086-6311,2,
211,탄현면,농어촌민박,파주착한펜션,경기도 파주시 탄현면 새오리로339번길 5-74,010-8960-7050,3,
212,탄현면,농어촌민박,프로방스,경기도 파주시 탄현면 새오리로395번길 54,010-9105-1382,4,
213,탄현면,농어촌민박,아임버디C,경기도 파주시 탄현면 필승로 487-32,010-2652-5408,1,
214,탄현면,농어촌민박,솔잎,경기도 파주시 탄현면 소리개길 85-4,010-5444-0715,1,
215,탄현면,농어촌민박,사과갤러리즐거운집,경기도 파주시 탄현면 약산골길 91-21,010-7201-7777,1,
216,탄현면,농어촌민박,테라펜션(풀빌라),경기도 파주시 탄현면 웅지로110번길 68,010-3007-4588,1,
217,탄현면,농어촌민박,파주테라펜션A,경기도 파주시 탄현면 웅지로 110번길 68-1,010-2576-4588,2,
218,탄현면,농어촌민박,통일동산펜션,경기도 파주시 탄현면 필승로 487-27,010-7350-9352,3,
219,탄현면,농어촌민박,아임버디,경기도 파주시 탄현면 필승로 487-32,010-8940-4102,1,
220,탄현면,농어촌민박,STAY29,경기도 파주시 탄현면 헤이리로133번길 29,010-7674-2365,4,
221,탄현면,농어촌민박,헤이리애,경기도 파주시 탄현면 헤이리로133번길 30-11,010-6202-2969,4,
222,탄현면,농어촌민박,축제팬션,경기도 파주시 탄현면 헤이리로133번길 30-12,010-3100-8826,2,
223,탄현면,농어촌민박,채연,경기도 파주시 탄현면 헤이리로133번길 33,010-6218-7254,3,
224,탄현면,농어촌민박,펜션J,경기도 파주시 탄현면 헤이리로133번길 38,010-8155-8287,3,
225,탄현면,농어촌민박,모티프원,경기도 파주시 탄현면 헤이리마을길 38-26,010-3228-7142,3,
226,탄현면,농어촌민박,모리,경기도 파주시 탄현면 헤이리마을길 38-86 ,010-8833-7259,2,
227,탄현면,농어촌민박,원과호,경기도 파주시 탄현면 헤이리마을길 48-99,010-2242-4024,5,
228,탄현면,농어촌민박,파주 모리CAFÉ펜션,경기도 파주시 탄현면 헤이리마을길 59-136,010-3591-7259,1,
229,탄현면,농어촌민박,다이얼로그,경기도 파주시 탄현면 헤이리마을길 61,010-6686-4213,1,
230,탄현면,농어촌민박,갤러리순,경기도 파주시 탄현면 헤이리마을길 76-30,010-3683-7259,3,
231,월롱면,농어촌민박,사인웨이브,경기도 파주시 월롱면 쉰우물길 67-7,010-7282-3422,1,
232,적성면,농어촌민박,파주로1박2일,경기도 파주시 적성면 감악산로 1311-35,010-6233-2354,5,
233,적성면,농어촌민박,가월,경기도 파주시 적성면 관고개길 81,010-4001-7286,3,
234,적성면,농어촌민박,데이오프파주,경기도 파주시 적성면 달빛길 264-117,010-8798-9575,1,
235,적성면,농어촌민박,한탄강민박,경기도 파주시 적성면 달빛길 5,010-3285-6363,5,
236,적성면,농어촌민박,k2,경기도 파주시 적성면 장뜰길 467,010-8606-0658,1,
237,적성면,농어촌민박,정우농장,경기도 파주시 적성면 장뜰안길 199,010-4754-6334,3,
238,적성면,농어촌민박,어반민박,경기도 파주시 적성면 적서초교길 24,010-4656-4642,5,
239,적성면,농어촌민박,솔밭민박,경기도 파주시 적성면 청송로 998,010-5356-4311,2,
240,적성면,농어촌민박,연정황토펜션,경기도 파주시 적성면 칠중7길 100-106,010-4725-5722,5,
241,파평면,농어촌민박,원프레임,경기도 파주시 파평면 장승배기로198번길 83-13,010-5003-6834,3,
242,파평면,농어촌민박,원프레임,경기도 파주시 파평면 장승배기로198번길 83-15,010-5008-6834,3,
243,파평면,농어촌민박,W&J,경기도 파주시 파평면 장승배기로268번길 117-1,010-4129-7055,4,
244,파평면,농어촌민박,825LUZ2,경기도 파주시 파평면 청송로266번길 39-200,010-4929-2597,1,
245,파평면,농어촌민박,825LUZ,경기도 파주시 파평면 청송로266번길 39-202,010-4929-2597,1,
246,파평면,농어촌민박,바우가든 민박,경기도 파주시 파평면 청송로446번길 37-85,010-6511-3304,4,
247,파평면,농어촌민박,파인밸리펜션,경기도 파주시 파평면 청송로652번길 213,010-2808-7567,5,
248,파평면,농어촌민박,파주파인밸리,경기도 파주시 파평면 청송로652번길 216,010-2808-7567,4,
249,파평면,농어촌민박,파인밸리,경기도 파주시 파평면 청송로652번길 216-1,010-2319-1802,2,
250,교하동,농어촌민박,리베르떼 파주,경기도 파주시 돌곶이길 173-24(서패동),010-8247-3677,2,
251,운정4동,농어촌민박,사우다지,경기도 파주시 송학1길 167,010-5416-3981,3,
252,교하동,농어촌민박,좋은아침팬션,경기도 파주시 대골길 134(오도동),010-7721-6781,4,
253,교하동,농어촌민박,동화스토리,경기도 파주시 대골길 150(오도동),010-8914-1104,4,
254,운정4동,농어촌민박,하임원하우스,경기도 파주시 송학1길 169,010-8281-3402,3,
255,탄현면,농어촌민박,뜰하우스,경기도 파주시 법흥로 100-1,010-4200-0006,2,
256,탄현면,농어촌민박,헤이리힐스테이,경기도 파주시 탄현면 국원말길 39-7,010-2220-8177,3,
